attributes,choice_options,colors,variant,price,stock,variant_images,product_images
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Black Extra-large,29.99,150,,
"{""size"": ""large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Large,19.99,25,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Purple Medium,25.99,75,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Yellow Large,25.99,150,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Green Extra-large,29.99,75,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Black Medium,25.99,100,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Large,39.99,100,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Green Small,49.99,100,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Green Medium,19.99,150,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Blue Medium,29.99,50,,
"{""size"": ""medium"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Green Medium,19.99,150,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Black Large,39.99,25,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Extra-large,19.99,50,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Red Small,39.99,150,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Blue Large,39.99,50,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Green Large,29.99,25,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Blue Small,29.99,50,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Purple Extra-large,39.99,75,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Black Medium,39.99,75,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Blue Small,39.99,25,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Green Large,19.99,150,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Red Large,39.99,50,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Black Small,39.99,150,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Black Medium,49.99,25,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Green Small,49.99,50,,
"{""size"": ""medium"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Red Extra-large,39.99,100,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Black Medium,25.99,75,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Black Medium,19.99,75,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Red Extra-large,25.99,75,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Red Large,25.99,100,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Black Large,29.99,25,,
"{""size"": ""medium"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Black Small,25.99,25,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Blue Small,19.99,75,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Blue Large,19.99,75,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Black Small,25.99,150,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Blue Large,49.99,50,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Red Extra-large,19.99,25,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Purple Extra-large,39.99,100,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Red Medium,25.99,25,,
"{""size"": ""medium"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Purple Large,39.99,75,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green""]",Blue Large,49.99,150,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Red Extra-large,25.99,150,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Green Extra-large,19.99,75,,
"{""size"": ""extra-large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Blue Medium,25.99,100,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Blue Large,19.99,50,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Large,39.99,25,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Purple Small,19.99,25,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Black Extra-large,29.99,75,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Medium,49.99,100,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Green Extra-large,39.99,150,,
"{""size"": ""medium"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Black Small,19.99,50,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Red Extra-large,39.99,100,,
"{""size"": ""small"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Large,25.99,75,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Yellow Large,29.99,25,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Blue Extra-large,29.99,50,,
"{""size"": ""medium"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Yellow Medium,29.99,50,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green""]",Purple Extra-large,49.99,25,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Green Extra-large,19.99,100,,
"{""size"": ""small"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Blue Medium,29.99,75,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Yellow Large,29.99,75,,
"{""size"": ""large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Small,29.99,100,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Yellow Medium,19.99,150,,
"{""size"": ""large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Blue Extra-large,19.99,100,,
"{""size"": ""medium"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Red Extra-large,29.99,75,,
"{""size"": ""large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue""]",Green Extra-large,29.99,150,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Black Large,29.99,25,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Black Extra-large,25.99,25,,
"{""size"": ""extra-large"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium""]}","[""red"", ""blue"", ""green"", ""yellow""]",Yellow Extra-large,19.99,100,,
"{""size"": ""extra-large"", ""material"": ""wool""}","{""color"": [""red"", ""blue""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Blue Medium,19.99,150,,
"{""size"": ""large"", ""material"": ""silk""}","{""color"": [""red"", ""blue"", ""green""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",Green Small,29.99,50,,
"{""size"": ""large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue""]",Blue Extra-large,19.99,100,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium""]}","[""red"", ""blue""]",Yellow Large,39.99,150,,
"{""size"": ""medium"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Purple Medium,49.99,75,,
"{""size"": ""small"", ""material"": ""wool""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green""]",Blue Large,49.99,100,,
"{""size"": ""small"", ""material"": ""polyester""}","{""color"": [""red"", ""blue"", ""green"", ""yellow""], ""size"": [""small"", ""medium"", ""large"", ""extra-large""]}","[""red"", ""blue"", ""green"", ""yellow""]",Yellow Large,25.99,150,,
"{""size"": ""extra-large"", ""material"": ""cotton""}","{""color"": [""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""], ""size"": [""small"", ""medium"", ""large""]}","[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""black""]",Yellow Extra-large,39.99,50,,
